House_ID,House ID,Street,City,Zipcode,Listing Price ($),Number of Beds,Number of Baths,Square Footage
0,0,7945 East Viewrim Drive,Anaheim,92808,595000,2,2.0,984.0
1,1,1650 South Inez Way,Anaheim,92802,850000,4,3.0,2565.0
2,2,1275 South Goldstone,Anaheim,92804,899000,4,2.5,2002.0
3,3,324 East Leatrice Lane,Anaheim,92802,3795000,24,14.0,9036.0
4,4,8425 East Meadowridge Street,Anaheim,92808,799900,3,2.0,1514.0
5,5,1841 West Crestwood Lane,Anaheim,92804,1700000,10,6.0,5042.0
6,6,1473 East Rosewood Avenue,Anaheim,92805,699000,3,2.0,1279.0
7,7,1051 South Volterra Way,Anaheim,92808,577000,3,3.0,1181.0
8,8,3325 West Rovigo Drive,Anaheim,92801,675000,4,3.5,1709.0
9,9,745 North Clementine Street,Anaheim,92805,699900,3,2.0,1483.0
10,10,"5803 East Mountain Loop Trail, Unit 26",Anaheim,92807,850000,3,2.5,1831.0
11,11,1218 North Ralston Street,Anaheim,92801,749900,3,2.0,1245.0
12,12,2404 East Briarvale Avenue,Anaheim,92806,830000,3,2.5,2024.0
13,13,6516 East Paseo Diego,Anaheim,92807,749000,3,2.5,2312.0
14,14,1509 West Chevy Chase Drive,Anaheim,92801,699900,4,2.0,1555.0
15,15,"235 South Beach Boulevard, Unit 23",Anaheim,92804,224900,2,1.0,1056.0
16,16,1151 North Voyager Lane,Anaheim,92801,754300,2,2.0,1621.0
17,17,1834 West Gramercy Avenue,Anaheim,92801,1250000,8,4.0,3950.0
18,18,1828 North Cymbal Way,Anaheim,92807,724900,3,2.0,1238.0
19,19,3601 La Fiesta Drive,Brea,92823,1195000,4,3.0,2463.0
20,20,755 Site Drive,Brea,92821,1018000,4,3.5,2200.0
21,21,406 South Brea Boulevard,Brea,92821,769800,3,2.0,1317.0
22,22,1908 Skywood Street,Brea,92821,775000,3,2.0,1511.0
23,23,2101 Windbreak Circle,Brea,92821,975000,4,2.25,2526.0
24,24,550 Linden Way,Brea,92821,775000,3,2.0,1377.0
25,25,828 Carob Street,Brea,92821,824000,3,2.0,1691.0
26,26,2043 Arbor Circle,Brea,92821,799000,3,2.0,1562.0
27,27,875 Reynoso Parkway,Brea,92821,1050000,5,4.0,3645.0
28,28,1584 Ironwood Court,Brea,92821,550888,4,3.0,1499.0
29,29,449 Brea Hills Avenue,Brea,92823,1650000,4,3.5,4267.0
30,30,419 Mallorca Lane,Brea,92823,640000,2,2.0,1046.0
31,31,"1051 Site, Unit 276",Brea,92821,317500,3,2.0,1500.0
32,32,"1051 Site Drive, Unit 276",Brea,92821,317500,3,2.0,1500.0
33,33,626 Desert Canyon Road,Brea,92821,1295000,4,3.0,2768.0
34,34,"632 East Birch Street, Unit B",Brea,92821,459999,2,1.5,1104.0
35,35,8241 Celestial Avenue,Buena Park,90621,699900,3,2.25,1498.0
36,36,8180 Orangethorpe Avenue,Buena Park,90621,659000,3,3.0,1519.0
37,37,5632 Fox Hills Avenue,Buena Park,90621,1099000,4,2.25,2241.0
38,38,5400 Brae Burn Place,Buena Park,90621,1500000,4,3.5,3646.0
39,39,8101 San Heron Circle,Buena Park,90620,690000,3,2.0,1512.0
40,40,6838 Mount Waterman Drive,Buena Park,90620,725000,3,1.75,1330.0
41,41,7889 La Casa Way,Buena Park,90620,779000,3,1.75,1195.0
42,42,5716 Spring Street,Buena Park,90621,690000,3,3.0,1486.0
43,43,5972 Marshall Avenue,Buena Park,90621,799999,4,2.5,1919.0
44,44,5417 Arrowhead Avenue,Buena Park,90621,685000,3,2.5,1598.0
45,45,8720 Vestavia Avenue,Buena Park,90621,1100000,5,4.0,2625.0
46,46,5764 Spring Street,Buena Park,90621,810000,4,3.5,2010.0
47,47,6971 San Pasqual Circle,Buena Park,90620,849000,4,2.75,1927.0
48,48,8112 San Heron Circle,Buena Park,90620,729000,3,1.75,1052.0
49,49,8081 Page Street,Buena Park,90621,695000,3,3.0,2054.0
50,50,7740 Granada Drive,Buena Park,90621,955900,4,2.5,1864.0
51,51,8254 Orangethorpe Avenue,Buena Park,90621,720000,3,2.25,1647.0
52,52,"309 Monte Vista Avenue, Unit A",Costa Mesa,92627,650000,2,1.0,1080.0
53,53,3430 Hollow Brook Circle,Costa Mesa,92626,479999,3,2.0,1324.0
54,54,944 Paularino Avenue,Costa Mesa,92626,899000,5,2.0,1666.0
55,55,"2191 Harbor, Unit 27",Costa Mesa,92627,129000,4,2.0,1344.0
56,56,"273 Costa Mesa Street, Unit A",Costa Mesa,92627,1600000,5,3.0,2352.0
